id,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
train_08882,Florida,Palm Beach,1366,643,723,0.8,98.3,0.4,0.0,0.0,0.0,1332,38904.0,2.3,,21.7,42.5,27.6,2.7,5.4,83.7,8.1,0.0,0.0,0.0,8.1,16.8,221,79.6,10.9,9.5,0.0,14.3
train_09238,Iowa,Story,661,310,351,0.0,89.0,4.5,0.0,4.4,0.0,623,77083.0,27.5,,22.5,23.1,45.6,6.5,2.4,22.5,2.4,23.1,42.0,0.0,10.1,13.9,169,56.8,43.2,0.0,0.0,24.6
train_09342,Virginia,Fredericksburg city,2360,663,1697,6.3,80.4,6.2,0.0,3.7,0.0,2275,71563.0,25.6,,22.7,35.1,41.3,0.8,0.2,27.2,2.6,0.0,49.4,0.0,20.8,13.2,666,83.3,14.7,2.0,0.0,11.3
train_10211,Oklahoma,Cleveland,242,164,78,7.9,79.8,8.3,2.9,0.0,0.0,208,11250.0,77.7,,100.0,0.0,0.0,0.0,0.0,46.2,0.0,0.0,53.8,0.0,0.0,,39,46.2,53.8,0.0,0.0,48.7
train_10400,Alabama,Lee,4793,2053,2740,3.1,85.4,6.8,0.2,3.8,0.0,4690,22935.0,63.2,,23.8,33.8,25.9,8.2,8.3,59.9,7.6,4.0,21.2,2.6,4.7,12.6,843,74.7,23.4,1.9,0.0,14.2
train_10639,California,Riverside,1927,781,1146,5.9,87.5,3.5,0.0,3.1,0.0,1860,31782.0,8.6,,16.2,21.1,49.4,10.1,3.2,91.6,0.0,0.0,2.1,0.0,6.3,32.7,346,82.9,4.3,12.7,0.0,8.7
train_11352,Texas,Dallas,71,36,35,22.5,77.5,0.0,0.0,0.0,0.0,55,37031.0,22.5,100.0,0.0,0.0,36.6,19.5,43.9,90.2,0.0,0.0,9.8,0.0,0.0,,41,70.7,19.5,9.8,0.0,0.0
train_11675,Michigan,Wayne,2435,1010,1425,0.2,0.7,93.2,0.0,0.0,0.0,1533,10475.0,71.9,82.2,29.8,29.2,37.8,0.0,3.2,65.7,2.8,19.1,0.0,12.4,0.0,,466,97.0,3.0,0.0,0.0,31.9
train_12127,Arizona,Pima,3533,1599,1934,0.4,99.2,0.0,0.0,0.4,0.0,3463,49469.0,4.8,,60.6,12.4,12.2,6.5,8.4,64.0,0.0,0.0,0.0,3.3,32.8,21.1,525,54.1,4.0,41.9,0.0,4.5
train_12387,South Carolina,Horry,92,47,45,0.0,100.0,0.0,0.0,0.0,0.0,92,93571.0,16.3,,26.2,13.1,60.7,0.0,0.0,89.3,10.7,0.0,0.0,0.0,0.0,24.2,84,100.0,0.0,0.0,0.0,0.0
train_12448,Arizona,Maricopa,4332,1950,2382,0.0,98.0,0.0,0.0,2.0,0.0,4243,44535.0,6.3,,18.9,32.7,48.4,0.0,0.0,76.7,18.5,0.0,0.0,4.7,0.0,27.2,275,89.1,0.0,10.9,0.0,7.7
train_12794,Florida,Hillsborough,3278,1259,2019,7.4,90.4,2.2,0.0,0.0,0.0,3206,32730.0,7.5,,35.8,25.0,22.5,9.8,6.9,90.2,0.0,0.0,0.0,9.8,0.0,22.1,408,84.3,15.7,0.0,0.0,12.6
train_13280,Georgia,Fulton,54,42,12,0.0,0.0,100.0,0.0,0.0,0.0,54,12411.0,51.9,,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,14,100.0,0.0,0.0,0.0,0.0
train_13349,Arizona,Maricopa,3187,1557,1630,3.1,94.3,1.7,0.0,0.6,0.0,3044,62022.0,4.2,,15.7,26.9,46.1,2.4,8.9,61.9,1.5,0.0,1.3,4.4,30.9,21.1,540,69.8,8.1,22.0,0.0,3.4
train_14708,Arizona,Maricopa,6294,2621,3673,0.8,95.6,1.1,0.0,2.5,0.0,6094,39721.0,8.0,,32.8,23.7,32.3,2.6,8.6,86.2,4.0,0.0,0.0,5.6,4.3,24.7,582,81.3,9.5,9.3,0.0,11.3
train_16060,Florida,Sarasota,2317,1066,1251,1.5,97.4,0.0,0.0,1.1,0.0,2143,45554.0,5.1,,26.0,24.2,24.5,25.3,0.0,84.9,0.0,0.0,0.0,0.0,15.1,17.7,269,60.2,26.4,10.0,3.3,12.4
train_16442,Wisconsin,Dane,3274,1293,1981,5.3,70.7,1.3,0.8,17.7,0.4,2839,9558.0,86.4,,36.3,33.6,23.5,0.5,6.0,18.0,0.5,17.9,53.0,8.6,2.1,14.9,2001,67.3,32.3,0.3,0.0,6.2
train_17920,North Carolina,Durham,2836,1426,1410,6.6,47.3,21.1,0.0,22.0,0.0,2444,9107.0,87.3,,40.0,23.7,34.0,0.0,2.4,9.0,4.5,13.0,51.1,7.9,14.5,10.4,468,78.6,20.7,0.6,0.0,8.4
train_17956,California,Orange,1031,651,380,25.8,38.5,4.2,1.0,28.3,0.8,718,85844.0,0.0,0.0,86.7,0.0,13.3,0.0,0.0,96.2,0.0,0.0,0.0,0.0,3.8,,105,82.9,17.1,0.0,0.0,20.5
train_17981,Maryland,Montgomery,1883,606,1277,2.2,87.5,7.0,0.0,3.3,0.0,1867,52644.0,4.3,,70.2,2.5,27.3,0.0,0.0,68.9,0.0,15.5,0.0,2.5,13.0,40.2,322,32.3,46.0,21.7,0.0,2.7
train_18951,Alabama,Lee,3310,1801,1509,1.6,76.6,9.5,1.2,10.9,0.0,2959,8160.0,80.2,,54.1,31.2,13.1,0.4,1.2,52.6,10.8,4.1,27.6,4.9,0.0,11.4,1141,57.4,40.7,1.9,0.0,11.8
train_19008,Mississippi,Lauderdale,43,24,19,0.0,90.7,9.3,0.0,0.0,0.0,43,16000.0,37.2,,0.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,,8,50.0,50.0,0.0,0.0,0.0
train_19544,Florida,Collier,2002,887,1115,0.0,100.0,0.0,0.0,0.0,0.0,1968,112609.0,0.9,,66.3,13.6,9.6,6.1,4.4,45.7,2.4,0.0,10.1,8.4,33.4,17.5,457,64.6,14.7,20.8,0.0,5.8
train_19562,Illinois,Champaign,6099,2778,3321,7.5,56.1,8.3,0.1,25.7,0.0,5298,7470.0,72.1,,38.5,32.3,27.0,0.2,2.0,14.2,0.2,8.8,52.2,5.4,19.2,11.2,2380,36.1,62.3,1.7,0.0,13.1
train_19655,Missouri,St. Louis city,1557,601,956,2.9,58.7,26.3,0.0,8.6,0.0,1445,11844.0,55.9,,40.1,43.5,14.1,2.3,0.0,29.2,2.8,16.1,27.1,3.9,20.9,17.9,439,94.5,5.5,0.0,0.0,9.3
train_20167,New Jersey,Ocean,1506,645,861,1.5,93.1,2.0,0.9,0.7,0.0,1487,31077.0,10.0,,22.7,28.3,37.4,0.0,11.6,92.9,0.0,0.0,0.0,0.0,7.1,27.8,198,91.9,8.1,0.0,0.0,29.0
train_20865,California,San Diego,2365,897,1468,5.2,88.7,0.4,0.0,5.1,0.0,2326,43175.0,7.8,,57.8,8.3,25.0,4.0,4.8,80.3,1.3,3.6,1.6,0.0,13.2,25.4,683,73.5,16.3,8.2,2.0,1.2
train_20878,Arizona,Maricopa,3540,1638,1902,3.6,91.9,1.6,1.7,1.2,0.0,3527,32706.0,7.8,,11.9,20.0,43.6,6.1,18.4,70.4,3.9,0.0,2.2,9.0,14.4,29.1,700,88.3,8.6,3.1,0.0,10.9
train_21861,Idaho,Lewis,23,11,12,0.0,100.0,0.0,0.0,0.0,0.0,23,25000.0,0.0,,,,,,,,,,,,,,0,,,,,
train_22037,New Jersey,Ocean,3306,1290,2016,2.4,91.4,5.7,0.0,0.5,0.0,3306,29904.0,11.3,,5.3,15.9,33.6,32.7,12.5,95.3,2.3,0.0,2.4,0.0,0.0,23.6,642,65.1,30.7,4.2,0.0,16.3
train_22227,Nevada,Clark,1780,779,1001,2.2,85.3,7.2,0.0,3.6,0.3,1745,43981.0,3.9,,29.5,15.8,42.5,5.3,7.0,96.5,3.5,0.0,0.0,0.0,0.0,24.0,285,82.5,9.5,8.1,0.0,11.2
train_22963,New Jersey,Ocean,3683,1575,2108,10.6,87.3,0.9,0.0,1.0,0.0,3660,36650.0,3.4,,14.0,28.7,28.9,11.7,16.6,88.0,7.5,2.2,0.0,0.0,2.2,27.9,769,50.1,48.9,1.0,0.0,13.8
train_23626,California,Los Angeles,991,895,96,61.3,14.4,17.0,0.0,4.5,0.0,693,10598.0,91.8,,9.1,72.7,18.2,0.0,0.0,0.0,0.0,18.2,0.0,0.0,81.8,,11,27.3,72.7,0.0,0.0,0.0
train_23961,Virginia,Prince Edward,1733,609,1124,3.4,83.2,7.3,0.0,3.1,0.0,1712,22159.0,0.0,,14.3,46.1,34.8,0.0,4.8,38.2,6.4,0.0,37.8,2.1,15.5,8.8,356,87.4,12.6,0.0,0.0,7.3
train_24076,California,Los Angeles,3797,1787,2010,9.1,44.9,4.2,0.2,34.6,0.4,3040,9236.0,88.3,,37.7,15.3,40.9,1.1,5.1,19.8,1.5,7.7,54.2,9.5,7.3,12.2,727,94.5,1.1,4.4,0.0,25.2
train_24282,Illinois,Johnson,1887,1861,26,12.8,32.7,53.8,0.0,0.0,0.0,1793,17708.0,31.0,100.0,,,,,,,,,,,,,0,,,,,100.0
train_24507,Arizona,Maricopa,5334,2446,2888,0.0,99.4,0.0,0.0,0.0,0.0,5196,38090.0,5.6,,32.7,30.0,26.1,8.6,2.6,77.8,0.0,0.0,1.7,8.0,12.4,18.9,930,83.8,4.6,11.6,0.0,10.7
train_24580,Arizona,La Paz,4134,1999,2135,4.3,95.2,0.0,0.5,0.0,0.0,4033,33297.0,10.9,,50.1,24.7,13.3,2.3,9.6,37.2,0.0,0.7,22.5,10.4,29.2,5.6,685,86.7,13.3,0.0,0.0,8.9
train_25127,California,Placer,3348,1511,1837,2.3,90.5,0.6,0.8,4.6,0.0,3261,67667.0,6.8,,46.1,9.2,18.1,14.3,12.3,69.7,19.2,7.3,0.0,0.0,3.8,27.0,293,77.8,13.3,8.9,0.0,17.2
train_25905,Florida,Lee,1059,530,529,2.2,91.9,0.0,0.8,3.4,0.0,1015,52425.0,4.9,,37.6,13.8,23.2,9.4,16.0,66.3,13.3,0.0,3.3,7.7,9.4,43.4,181,79.0,9.4,11.6,0.0,8.6
train_26100,Mississippi,Rankin,139,51,88,0.0,83.5,14.4,2.2,0.0,0.0,114,114063.0,12.2,0.0,47.2,0.0,41.7,11.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,36,88.9,11.1,0.0,0.0,12.2
train_26720,New Jersey,Hudson,24,19,5,0.0,16.7,45.8,0.0,20.8,0.0,19,40341.0,37.5,,0.0,73.3,0.0,0.0,26.7,26.7,0.0,73.3,0.0,0.0,0.0,,15,100.0,0.0,0.0,0.0,0.0
train_27335,Arizona,Maricopa,2777,1348,1429,1.2,92.3,1.2,0.0,4.6,0.0,2718,64347.0,4.9,,46.8,21.3,24.0,0.0,7.9,73.1,2.0,0.0,0.0,1.5,23.4,39.9,442,76.0,6.1,17.9,0.0,12.5
train_27993,Oklahoma,Oklahoma,312,193,119,55.8,34.6,7.4,2.2,0.0,0.0,194,25147.0,35.6,20.3,8.6,24.8,13.3,17.1,36.2,76.8,4.0,7.1,0.0,7.1,5.1,,105,100.0,0.0,0.0,0.0,11.8
train_28206,Arizona,Maricopa,1466,729,737,1.7,93.5,4.1,0.0,0.7,0.0,1424,64167.0,0.7,,65.5,13.2,16.2,0.0,5.1,82.6,0.0,0.0,0.0,0.0,17.4,37.8,235,88.5,8.5,3.0,0.0,6.0
train_28364,New Jersey,Ocean,1691,764,927,0.0,99.7,0.0,0.0,0.0,0.0,1681,32996.0,9.3,,17.7,4.2,45.6,3.5,29.0,92.2,5.3,0.0,0.0,0.0,2.5,33.0,283,77.4,15.9,6.7,0.0,27.4
train_28713,Wisconsin,Racine,711,312,399,3.0,68.2,23.3,4.4,0.0,0.0,669,83750.0,36.9,0.0,52.6,21.1,15.8,0.0,10.5,89.5,10.5,0.0,0.0,0.0,0.0,,19,100.0,0.0,0.0,0.0,38.7
train_28896,Arizona,Maricopa,2942,1388,1554,0.0,98.3,1.4,0.0,0.0,0.0,2894,57690.0,1.7,,30.3,0.0,58.8,4.8,6.1,74.5,10.3,0.0,0.0,0.0,15.2,19.7,165,66.1,10.3,23.6,0.0,6.3
train_29002,Colorado,Arapahoe,2982,1035,1947,1.9,94.8,1.3,0.0,0.4,0.4,2928,36117.0,8.1,,32.4,18.8,46.4,2.4,0.0,69.0,10.3,7.9,0.0,2.1,10.8,23.2,584,78.3,17.5,4.3,0.0,2.0
train_29946,Ohio,Wood,5628,2394,3234,4.2,77.8,13.0,0.2,1.9,0.0,5420,19625.0,65.4,,17.3,43.6,33.5,3.0,2.7,28.5,5.4,0.3,56.6,2.6,6.7,13.6,1924,64.1,34.0,1.6,0.3,29.7
train_30043,Florida,Palm Beach,1830,690,1140,7.3,92.5,0.0,0.0,0.3,0.0,1745,29978.0,6.7,,35.9,33.5,22.4,1.4,6.7,91.0,3.8,1.7,0.0,0.0,3.6,19.5,490,78.6,14.9,6.5,0.0,6.8
train_31371,Arizona,Pima,1373,612,761,1.5,97.7,0.4,0.0,0.0,0.0,1358,52438.0,4.2,,39.7,13.2,40.4,6.6,0.0,80.1,14.9,0.0,5.0,0.0,0.0,17.1,151,66.9,25.2,7.9,0.0,11.7
train_31587,Arizona,Maricopa,6256,2882,3374,1.4,96.1,0.6,1.0,0.2,0.0,6109,58217.0,5.8,,36.2,12.8,44.6,4.3,2.1,56.2,5.7,0.0,4.9,3.2,30.0,23.1,719,88.6,5.0,6.4,0.0,4.4
train_31713,Nevada,Clark,5525,2478,3047,4.4,81.7,4.5,0.0,8.0,0.3,5437,58646.0,2.9,,56.2,12.5,25.0,1.6,4.7,67.9,6.4,1.0,1.5,2.5,20.7,26.7,1068,74.4,11.1,14.4,0.0,17.3
train_32214,Oklahoma,Oklahoma,182,115,67,0.0,52.7,39.0,4.4,0.0,0.0,174,9299.0,68.1,0.0,39.0,0.0,51.2,9.8,0.0,67.6,0.0,0.0,32.4,0.0,0.0,,41,70.7,29.3,0.0,0.0,8.9
train_33331,Florida,Hillsborough,1553,766,787,3.0,93.1,2.7,0.0,1.2,0.0,1446,49293.0,5.7,,28.6,16.9,39.7,5.3,9.5,47.2,10.8,7.4,3.4,7.4,23.9,22.4,189,74.1,14.3,11.6,0.0,17.8
train_33617,Kentucky,Warren,5290,2217,3073,1.6,77.6,13.8,0.2,3.2,0.3,4953,15893.0,56.2,,23.4,40.3,30.7,1.0,4.6,48.3,3.1,1.6,45.3,0.0,1.8,11.2,2076,67.3,31.7,0.0,1.0,26.1
train_33835,Hawaii,Honolulu,330,199,131,4.5,19.7,11.5,0.0,51.2,7.3,283,25655.0,16.7,,54.8,30.8,10.6,0.0,3.8,60.6,0.0,14.4,11.5,13.5,0.0,22.9,104,61.5,30.8,7.7,0.0,18.1
train_34172,Indiana,Tippecanoe,4453,2438,2015,5.0,66.5,2.2,0.0,25.3,0.0,3342,9345.0,82.5,,47.9,30.7,18.4,2.2,0.8,41.7,2.9,1.8,43.0,6.0,4.6,15.2,2087,78.9,18.8,0.9,1.4,6.0
train_34640,Massachusetts,Suffolk,3621,1579,2042,12.4,54.7,4.8,0.1,23.2,0.0,2911,24444.0,41.6,,41.7,22.4,33.4,0.7,1.8,10.2,0.9,20.5,63.8,1.6,3.1,17.2,1456,93.6,4.7,1.6,0.0,12.3
train_34965,Florida,Broward,7630,2582,5048,49.5,45.7,4.1,0.0,0.2,0.0,7003,20116.0,26.5,,22.9,30.3,40.0,2.8,4.0,95.2,2.8,0.0,0.0,0.0,2.0,31.4,1662,58.7,16.1,25.2,0.0,13.2
train_35567,California,Monterey,10227,10203,24,42.4,21.4,26.2,1.9,3.5,0.2,8546,88594.0,0.0,0.0,21.1,34.2,21.1,23.7,0.0,78.9,0.0,0.0,0.0,21.1,0.0,,38,23.7,55.3,21.1,0.0,0.0
train_35744,Virginia,Albemarle,3838,1863,1975,6.9,65.5,9.5,0.2,12.5,0.0,3436,8043.0,95.1,,29.0,21.2,43.2,0.0,6.7,26.9,2.6,4.2,52.5,3.1,10.8,15.3,600,71.8,28.2,0.0,0.0,11.8
train_36828,Florida,Osceola,47,16,31,34.0,59.6,0.0,0.0,0.0,0.0,35,34167.0,6.4,0.0,0.0,21.4,21.4,57.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,14,21.4,28.6,50.0,0.0,0.0
train_36850,Ohio,Butler,4890,2001,2889,1.6,86.9,4.2,0.0,6.1,0.0,4595,18500.0,82.6,,8.8,49.0,36.7,1.6,3.9,17.0,2.1,2.1,64.1,4.8,9.9,9.3,1645,75.4,23.4,1.2,0.0,6.9
train_37947,Florida,Manatee,723,312,411,0.0,98.5,0.0,0.0,1.5,0.0,667,72330.0,5.5,,67.0,0.0,20.0,0.0,13.0,49.0,0.0,6.0,19.0,20.0,6.0,28.5,100,70.0,6.0,18.0,6.0,23.7
train_38233,Pennsylvania,Union,1757,1720,37,23.4,25.8,40.6,5.0,0.0,0.0,1543,44375.0,0.0,0.0,82.8,0.0,17.2,0.0,0.0,69.0,31.0,0.0,0.0,0.0,0.0,,29,100.0,0.0,0.0,0.0,0.0
train_38256,Delaware,New Castle,2219,1216,1003,4.1,87.6,2.5,0.5,4.2,0.0,2123,13125.0,73.2,,29.2,39.6,24.2,3.7,3.3,42.7,2.2,3.4,49.8,0.6,1.2,16.2,809,84.7,14.7,0.6,0.0,7.9
train_38487,Florida,Marion,6246,2710,3536,1.6,97.5,0.0,0.0,0.6,0.0,6100,36722.0,9.9,,39.5,18.2,31.4,0.0,10.9,77.8,0.0,0.0,0.0,3.5,18.7,28.1,732,76.6,7.7,15.7,0.0,2.4
train_38797,Florida,Lee,2408,1218,1190,0.3,98.3,0.0,0.7,0.7,0.0,2281,78920.0,11.3,,59.1,8.0,24.6,5.6,2.6,73.3,1.8,0.0,0.0,7.4,17.4,19.6,499,84.8,11.8,1.8,1.6,0.8
train_38950,Indiana,Allen,630,259,371,2.5,59.2,19.5,0.0,5.1,0.0,551,12727.0,41.6,,20.1,30.3,44.4,0.0,5.1,68.8,3.8,0.0,19.2,4.3,3.8,15.3,234,94.4,5.6,0.0,0.0,31.8
train_39275,Florida,Palm Beach,1794,719,1075,0.0,100.0,0.0,0.0,0.0,0.0,1707,52829.0,9.8,,36.2,21.6,39.1,3.1,0.0,71.9,11.9,0.0,0.0,2.1,14.0,25.6,445,77.3,11.9,10.8,0.0,9.0
train_39493,Arizona,Maricopa,2818,1254,1564,2.8,96.5,0.0,0.0,0.0,0.0,2762,41250.0,5.9,,37.8,23.5,22.9,3.9,11.9,64.7,23.7,0.0,0.0,8.0,3.6,21.4,511,79.8,7.0,13.1,0.0,6.4
train_40262,Arizona,Maricopa,5300,2206,3094,1.1,95.9,0.3,0.9,1.0,0.0,5219,55254.0,6.8,,49.8,15.7,28.5,4.4,1.5,70.9,2.9,0.0,0.0,9.2,17.0,21.5,968,73.8,7.6,18.6,0.0,6.2
train_40305,Oklahoma,Oklahoma,231,118,113,6.1,77.1,0.0,2.2,12.6,0.0,198,68750.0,10.4,,51.3,20.9,22.0,5.8,0.0,51.0,10.7,0.0,34.5,0.0,3.9,13.2,191,90.1,7.9,0.0,2.1,0.0
train_40924,Florida,Hillsborough,2495,1095,1400,3.3,96.4,0.0,0.0,0.3,0.0,2464,40188.0,9.6,,35.8,22.6,32.6,6.8,2.2,77.5,0.0,0.0,1.6,8.0,13.0,27.3,411,89.3,1.7,9.0,0.0,14.6
train_42045,Florida,Lee,1113,522,591,2.4,95.5,0.0,0.0,0.0,0.0,1088,57292.0,5.7,,44.2,17.9,35.5,0.0,2.4,70.9,0.0,0.0,3.0,0.0,26.1,26.9,251,77.3,11.6,11.2,0.0,3.8
train_42663,Ohio,Cuyahoga,142,89,53,0.0,62.0,35.2,2.8,0.0,0.0,98,38194.0,18.9,,61.7,23.3,15.0,0.0,0.0,55.0,0.0,0.0,45.0,0.0,0.0,10.3,60,100.0,0.0,0.0,0.0,6.3
train_43446,District of Columbia,District of Columbia,6289,2900,3389,7.4,64.0,10.5,0.2,13.5,0.0,5454,35129.0,38.1,,47.8,23.7,27.3,0.2,1.0,3.0,2.8,26.9,55.7,4.4,7.1,19.2,2321,89.6,9.3,1.1,0.0,8.6
train_43464,California,Los Angeles,124,41,83,56.5,43.5,0.0,0.0,0.0,0.0,76,35625.0,41.9,35.0,0.0,50.0,28.6,9.5,11.9,55.3,0.0,0.0,0.0,7.9,36.8,,42,92.9,7.1,0.0,0.0,0.0
train_43946,Ohio,Franklin,3735,1873,1862,4.6,76.9,4.9,1.1,10.6,0.0,3435,16434.0,74.5,,39.7,29.1,23.5,0.3,7.4,48.4,2.6,5.8,35.8,5.5,1.8,15.7,1778,72.0,27.6,0.3,0.0,7.3
train_44836,Hawaii,Kalawao,85,42,43,4.7,37.6,0.0,0.0,21.2,35.3,80,66250.0,15.2,,31.3,23.4,21.9,4.7,18.8,34.3,7.5,0.0,40.3,14.9,3.0,9.2,64,25.0,64.1,10.9,0.0,0.0
train_45055,Arizona,Pima,2790,1243,1547,1.4,96.3,0.3,0.0,2.0,0.0,2766,54110.0,3.9,,49.0,7.6,40.0,0.0,3.4,64.8,0.0,0.0,0.0,0.0,35.2,25.4,408,75.2,14.2,10.5,0.0,7.1
train_45642,Florida,Broward,3552,1445,2107,5.5,92.4,1.8,0.0,0.0,0.0,3365,27813.0,11.6,,36.5,27.8,32.0,0.0,3.7,60.3,7.1,0.0,0.0,3.2,29.3,24.3,406,75.4,3.4,21.2,0.0,18.8
train_46221,Pennsylvania,Union,3476,1800,1676,2.3,83.1,3.2,0.3,10.1,0.0,3214,48490.0,20.6,,55.6,20.3,21.3,0.5,2.3,6.6,2.9,0.0,20.3,0.0,70.2,8.5,1104,89.5,8.0,2.5,0.0,5.0
train_47646,Nevada,Clark,2561,1114,1447,4.3,88.6,1.7,0.0,5.3,0.0,2511,59426.0,7.3,,30.6,19.1,34.5,2.8,12.9,83.5,3.5,0.0,0.0,1.6,11.5,21.0,533,77.5,17.4,5.1,0.0,10.9
train_47656,Wisconsin,Dane,5144,2734,2410,3.2,75.6,5.9,0.9,10.0,0.0,4773,19506.0,83.2,,29.1,32.4,28.2,2.6,7.8,21.6,4.3,14.7,44.5,13.0,2.0,13.5,3261,65.8,33.6,0.6,0.0,8.2
train_47723,Pennsylvania,Allegheny,311,179,132,12.9,44.4,33.8,0.0,3.9,0.0,250,19219.0,67.1,,35.8,22.4,10.4,17.9,13.4,27.8,0.0,14.8,14.8,0.0,42.6,20.0,67,100.0,0.0,0.0,0.0,40.7
